LocationID,D_EWR_miles,D_JFK_miles,D_LGA_miles
125,9.10946011980266,13.3766391326697,7.81311390808597
126,17.3347720679188,13.0719156280492,2.50413549422459
127,18.0865033149557,17.1995713485777,6.60120553808464
128,18.1912452103822,17.7066296035215,7.10326455741569
129,15.8511075037012,9.78752192297529,1.47733293559619
130,19.9599287102178,4.43645716152385,6.53167464174966
131,20.9783018611507,5.48399483231437,6.43134386479101
132,20.5436569545336,0.591282935973484,10.0777614332916
133,10.9286038211659,10.3862368943099,10.8330322683088
134,18.1588702999521,5.32031014341059,5.31508943550529
135,18.6984924403037,6.42626284023005,4.34501799207618
136,18.573361187927,16.8586879223802,6.3293291212885
137,10.9507119282114,12.4480288920709,5.92632397981858
138,16.8090496596453,10.4679440917869,0.175486377484119
139,22.5603206036211,3.0444116160143,9.68086783108273
140,12.6479848021438,12.6185813595004,4.29780192832588
141,12.458216100133,12.8757179487696,4.53339009924972
142,11.6563255097233,14.0404399056735,5.63098073806035
143,11.4630044705229,14.3884719338117,5.94657182452296
144,9.55094691178138,12.7160838233853,7.50828997959639
145,12.4297096603757,11.4791216114115,4.48385987934831
146,13.3238458437,11.3271142308322,3.54736339439114
147,16.9967051642834,13.8542543560728,3.23097766298042
148,9.82977039061498,12.3734412421255,7.31298773641322
149,13.228063777828,9.26481402512971,12.5018689996648
150,14.257942772039,9.64611096421147,14.0537734802379
151,13.1462857293139,14.7049861669711,5.13674639946785
152,14.569058696019,15.2849535377641,5.04669291099419
153,18.892695308314,17.6302752362084,7.1043343590564
154,15.7211060008267,7.31499844337245,12.7552419604383
155,14.540850502536,7.42640978634583,11.4211371929049
156,4.03874069460151,20.4150057946515,18.3604558037046
157,14.4533512626537,8.66121516019856,3.94477216267136
158,9.22184416191449,13.7211486335214,7.63411495864892
159,16.3308623437415,14.1164647832885,3.50653152512878
160,15.551244514252,7.54121736240023,4.05875121529036
161,11.3410158036636,13.2047476213282,5.58093374568901
162,11.5583688460895,12.9270649143305,5.3330860107609
163,11.5380498231631,13.4734504129139,5.48758821739499
164,10.7227251953963,13.1375459570903,6.13757838057201
165,12.3547722976588,9.47688190342385,11.6175764110057
