PULocationID,DOLocationID,pickup_hour,num_trips,GCT_Taxi,GCT_UAM_Early,GCT_UAM_Mid,GCT_UAM_Mature
149,1,2,9,102.09,191.718661483659,128.510878737221,65.5026496331006
149,1,3,60,104.15,191.718661483659,128.510878737221,65.5026496331006
149,1,4,77,110.34,191.718661483659,128.510878737221,65.5026496331006
149,1,5,75,114.8,191.718661483659,128.510878737221,65.5026496331006
149,1,6,62,111.51,191.718661483659,128.510878737221,65.5026496331006
149,1,7,47,121.3,191.718661483659,128.510878737221,65.5026496331006
149,1,8,35,112.11,191.718661483659,128.510878737221,65.5026496331006
149,1,9,36,117.98,191.718661483659,128.510878737221,65.5026496331006
149,1,10,40,122.16,191.718661483659,128.510878737221,65.5026496331006
149,1,11,27,118.8,191.718661483659,128.510878737221,65.5026496331006
149,1,12,27,138.56,191.718661483659,128.510878737221,65.5026496331006
149,1,13,46,141.41,191.718661483659,128.510878737221,65.5026496331006
149,1,14,39,145.5,191.718661483659,128.510878737221,65.5026496331006
149,1,15,48,152.78,191.718661483659,128.510878737221,65.5026496331006
149,1,16,27,157.84,191.718661483659,128.510878737221,65.5026496331006
149,1,17,37,141.75,191.718661483659,128.510878737221,65.5026496331006
149,1,18,45,121.44,191.718661483659,128.510878737221,65.5026496331006
149,1,19,33,122.47,191.718661483659,128.510878737221,65.5026496331006
149,1,20,22,126.27,191.718661483659,128.510878737221,65.5026496331006
149,1,21,3,108.44,191.718661483659,128.510878737221,65.5026496331006
150,1,0,3,98.69,215.517427074144,144.463422194525,73.6337423087436
150,1,1,3,116.8,215.517427074144,144.463422194525,73.6337423087436
150,1,2,4,87.11,215.517427074144,144.463422194525,73.6337423087436
150,1,3,9,95.33,215.517427074144,144.463422194525,73.6337423087436
150,1,4,29,104.02,215.517427074144,144.463422194525,73.6337423087436
150,1,5,42,99.08,215.517427074144,144.463422194525,73.6337423087436
150,1,6,27,107.75,215.517427074144,144.463422194525,73.6337423087436
150,1,7,16,109.43,215.517427074144,144.463422194525,73.6337423087436
150,1,8,12,108.12,215.517427074144,144.463422194525,73.6337423087436
150,1,9,5,108.6,215.517427074144,144.463422194525,73.6337423087436
150,1,10,16,110.15,215.517427074144,144.463422194525,73.6337423087436
150,1,11,27,119.93,215.517427074144,144.463422194525,73.6337423087436
150,1,12,12,116.34,215.517427074144,144.463422194525,73.6337423087436
150,1,13,20,119.42,215.517427074144,144.463422194525,73.6337423087436
150,1,14,25,127.2,215.517427074144,144.463422194525,73.6337423087436
150,1,15,26,141.6,215.517427074144,144.463422194525,73.6337423087436
150,1,16,13,139.85,215.517427074144,144.463422194525,73.6337423087436
150,1,17,16,125.09,215.517427074144,144.463422194525,73.6337423087436
150,1,18,14,124.36,215.517427074144,144.463422194525,73.6337423087436
150,1,19,13,133.61,215.517427074144,144.463422194525,73.6337423087436
150,1,20,7,111.78,215.517427074144,144.463422194525,73.6337423087436
150,1,21,4,117.82,215.517427074144,144.463422194525,73.6337423087436
150,1,22,2,95,215.517427074144,144.463422194525,73.6337423087436
151,1,0,4,139.72,78.7730333851193,52.8023284889298,26.9136158495547
151,1,1,4,95.32,78.7730333851193,52.8023284889298,26.9136158495547
151,1,2,77,104.56,78.7730333851193,52.8023284889298,26.9136158495547
151,1,3,314,101.07,78.7730333851193,52.8023284889298,26.9136158495547
151,1,4,795,105.63,78.7730333851193,52.8023284889298,26.9136158495547
151,1,5,946,106.21,78.7730333851193,52.8023284889298,26.9136158495547
151,1,6,786,107.34,78.7730333851193,52.8023284889298,26.9136158495547
151,1,7,673,114.63,78.7730333851193,52.8023284889298,26.9136158495547
151,1,8,499,119.02,78.7730333851193,52.8023284889298,26.9136158495547
151,1,9,423,112.36,78.7730333851193,52.8023284889298,26.9136158495547
151,1,10,382,112.74,78.7730333851193,52.8023284889298,26.9136158495547
151,1,11,385,114.94,78.7730333851193,52.8023284889298,26.9136158495547
151,1,12,418,116.73,78.7730333851193,52.8023284889298,26.9136158495547
151,1,13,612,119.31,78.7730333851193,52.8023284889298,26.9136158495547
151,1,14,754,130.14,78.7730333851193,52.8023284889298,26.9136158495547
151,1,15,632,138.71,78.7730333851193,52.8023284889298,26.9136158495547
151,1,16,522,147.18,78.7730333851193,52.8023284889298,26.9136158495547
151,1,17,469,142.49,78.7730333851193,52.8023284889298,26.9136158495547
151,1,18,333,129.85,78.7730333851193,52.8023284889298,26.9136158495547
151,1,19,305,119.23,78.7730333851193,52.8023284889298,26.9136158495547
151,1,20,190,111.53,78.7730333851193,52.8023284889298,26.9136158495547
151,1,21,54,110.07,78.7730333851193,52.8023284889298,26.9136158495547
151,1,22,15,101.43,78.7730333851193,52.8023284889298,26.9136158495547
151,1,23,5,117.2,78.7730333851193,52.8023284889298,26.9136158495547
152,1,2,39,101.65,77.3920451286781,51.8766386630796,26.441787029089
152,1,3,109,102.32,77.3920451286781,51.8766386630796,26.441787029089
152,1,4,159,107.89,77.3920451286781,51.8766386630796,26.441787029089
152,1,5,165,110.67,77.3920451286781,51.8766386630796,26.441787029089
152,1,6,110,109.05,77.3920451286781,51.8766386630796,26.441787029089
152,1,7,85,113.09,77.3920451286781,51.8766386630796,26.441787029089
152,1,8,76,112.77,77.3920451286781,51.8766386630796,26.441787029089
152,1,9,75,111.83,77.3920451286781,51.8766386630796,26.441787029089
152,1,10,58,113.28,77.3920451286781,51.8766386630796,26.441787029089
152,1,11,68,109.62,77.3920451286781,51.8766386630796,26.441787029089
152,1,12,103,116.64,77.3920451286781,51.8766386630796,26.441787029089
152,1,13,123,123.46,77.3920451286781,51.8766386630796,26.441787029089
152,1,14,131,129.39,77.3920451286781,51.8766386630796,26.441787029089
152,1,15,166,135.86,77.3920451286781,51.8766386630796,26.441787029089
152,1,16,141,146.29,77.3920451286781,51.8766386630796,26.441787029089
152,1,17,127,138.85,77.3920451286781,51.8766386630796,26.441787029089
152,1,18,105,125.46,77.3920451286781,51.8766386630796,26.441787029089
152,1,19,69,118.21,77.3920451286781,51.8766386630796,26.441787029089
152,1,20,47,109.78,77.3920451286781,51.8766386630796,26.441787029089
152,1,21,21,101.91,77.3920451286781,51.8766386630796,26.441787029089
152,1,22,3,105.97,77.3920451286781,51.8766386630796,26.441787029089
153,1,2,2,114.68,108.946388263002,73.0278209881937,37.2226524218218
153,1,3,7,112.97,108.946388263002,73.0278209881937,37.2226524218218
153,1,4,12,112.21,108.946388263002,73.0278209881937,37.2226524218218
