PULocationID,DOLocationID,pickup_hour,num_trips,GCT_Taxi,GCT_UAM_Early,GCT_UAM_Mid,GCT_UAM_Mature
87,132,2,204,89.86,196.979490792459,132.037263660464,67.3000659948003
87,132,3,1033,96.94,196.979490792459,132.037263660464,67.3000659948003
87,132,4,3326,100.84,196.979490792459,132.037263660464,67.3000659948003
87,132,5,4638,105.73,196.979490792459,132.037263660464,67.3000659948003
87,132,6,3872,111.62,196.979490792459,132.037263660464,67.3000659948003
87,132,7,3000,117.06,196.979490792459,132.037263660464,67.3000659948003
87,132,8,2722,118.81,196.979490792459,132.037263660464,67.3000659948003
87,132,9,2653,117.37,196.979490792459,132.037263660464,67.3000659948003
87,132,10,2316,132.85,196.979490792459,132.037263660464,67.3000659948003
87,132,11,2620,126.17,196.979490792459,132.037263660464,67.3000659948003
87,132,12,3177,132.11,196.979490792459,132.037263660464,67.3000659948003
87,132,13,3876,145.4,196.979490792459,132.037263660464,67.3000659948003
87,132,14,4239,152.09,196.979490792459,132.037263660464,67.3000659948003
87,132,15,3978,171.9,196.979490792459,132.037263660464,67.3000659948003
87,132,16,3560,161.72,196.979490792459,132.037263660464,67.3000659948003
87,132,17,2748,156.41,196.979490792459,132.037263660464,67.3000659948003
87,132,18,2297,138.07,196.979490792459,132.037263660464,67.3000659948003
87,132,19,1811,138.07,196.979490792459,132.037263660464,67.3000659948003
87,132,20,1144,115.43,196.979490792459,132.037263660464,67.3000659948003
87,132,21,630,109.64,196.979490792459,132.037263660464,67.3000659948003
87,132,22,359,110.88,196.979490792459,132.037263660464,67.3000659948003
87,132,23,182,106.95,196.979490792459,132.037263660464,67.3000659948003
88,132,0,16,277.25,198.770662816953,133.237903645408,67.9120383121798
88,132,1,11,92.83,198.770662816953,133.237903645408,67.9120383121798
88,132,2,44,94.15,198.770662816953,133.237903645408,67.9120383121798
88,132,3,219,99.91,198.770662816953,133.237903645408,67.9120383121798
88,132,4,664,100.55,198.770662816953,133.237903645408,67.9120383121798
88,132,5,888,109.53,198.770662816953,133.237903645408,67.9120383121798
88,132,6,762,113.06,198.770662816953,133.237903645408,67.9120383121798
88,132,7,662,117.91,198.770662816953,133.237903645408,67.9120383121798
88,132,8,630,119.82,198.770662816953,133.237903645408,67.9120383121798
88,132,9,625,118.84,198.770662816953,133.237903645408,67.9120383121798
88,132,10,610,122.55,198.770662816953,133.237903645408,67.9120383121798
88,132,11,786,150.51,198.770662816953,133.237903645408,67.9120383121798
88,132,12,912,138.73,198.770662816953,133.237903645408,67.9120383121798
88,132,13,1078,141.68,198.770662816953,133.237903645408,67.9120383121798
88,132,14,1225,153.55,198.770662816953,133.237903645408,67.9120383121798
88,132,15,1116,183.6,198.770662816953,133.237903645408,67.9120383121798
88,132,16,1036,167.9,198.770662816953,133.237903645408,67.9120383121798
88,132,17,861,159.8,198.770662816953,133.237903645408,67.9120383121798
88,132,18,578,142.57,198.770662816953,133.237903645408,67.9120383121798
88,132,19,432,128.48,198.770662816953,133.237903645408,67.9120383121798
88,132,20,259,121.88,198.770662816953,133.237903645408,67.9120383121798
88,132,21,139,113.68,198.770662816953,133.237903645408,67.9120383121798
88,132,22,57,130.92,198.770662816953,133.237903645408,67.9120383121798
88,132,23,31,109.14,198.770662816953,133.237903645408,67.9120383121798
89,132,0,119,74.92,147.074722900382,98.5856135949101,50.2495895260058
89,132,1,199,71.48,147.074722900382,98.5856135949101,50.2495895260058
89,132,2,576,69.32,147.074722900382,98.5856135949101,50.2495895260058
89,132,3,1438,77.41,147.074722900382,98.5856135949101,50.2495895260058
89,132,4,3090,82.67,147.074722900382,98.5856135949101,50.2495895260058
